id,category,prompt,answer_a,answer_b,human_winner,notes,mode,judge_name,judge_label,raw_output
38_swapped,reasoning,Can humans breathe underwater without equipment?,"Yes, with enough practice humans can adapt.","No, humans cannot naturally extract oxygen from water.",B,factuality,position_swap_raw,hf:google/flan-t5-small,A,A
39_swapped,coding,What does HTML stand for?,HighText Machine Language,HyperText Markup Language,B,web basics,position_swap_raw,hf:google/flan-t5-small,A,A
40_swapped,math,What is 7 squared?,14,49,B,powers,position_swap_raw,hf:google/flan-t5-small,A,A
41_swapped,writing,Explain teamwork briefly.,Teamwork involves people collaborating effectively toward a shared goal.,Teamwork means everybody works separately.,A,clarity; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
42_rand_swap_swapped,reasoning,"If today is Monday, what day comes after Tuesday?",Wednesday,Sunday,A,simple reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
43_rand_swap_swapped,coding,What symbol starts a comment in Python?,#,//,A,python syntax,position_swap_raw,hf:google/flan-t5-small,A,A
44_rand_swap_swapped,math,What is 100 divided by 4?,25,40,A,division,position_swap_raw,hf:google/flan-t5-small,A,A
45_rand_swap_swapped,writing,Write a concise product description for a water bottle.,Bottle with water functionality and advanced liquid technology.,A lightweight reusable water bottle designed for everyday hydration.,B,concise quality; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
46_rand_swap_swapped,reasoning,Can an object be in two places at once in classical physics?,"Yes, ordinary objects regularly exist in two places at once.","No, not in classical physics.",B,science reasoning; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
47_rand_swap_swapped,coding,What does CSS primarily control in web pages?,CSS controls the appearance and layout of web pages.,CSS stores data in databases.,A,web development,position_swap_raw,hf:google/flan-t5-small,A,A
48_rand_swap_swapped,math,What is 11 + 13?,24,25,A,addition,position_swap_raw,hf:google/flan-t5-small,A,A
49_swapped,writing,Write a friendly greeting.,Hi there! Hope you’re having a great day.,STATE YOUR PURPOSE IMMEDIATELY.,A,tone; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
50_rand_swap_swapped,reasoning,Does the Earth orbit the Sun?,"No, the Sun revolves around Earth.","Yes, the Earth revolves around the Sun.",B,basic science,position_swap_raw,hf:google/flan-t5-small,A,A
51_rand_swap_swapped,reasoning,"If every student in a class passed the exam, and Maria is in the class, did Maria pass?","Yes. Since Maria is in the class and every student passed, Maria passed.","Not necessarily, because Maria may have taken a different exam.",A,basic logical inference,position_swap_raw,hf:google/flan-t5-small,A,A
52_rand_swap_swapped,math,What is 18 + 27?,46,45,B,addition; B correct,position_swap_raw,hf:google/flan-t5-small,A,A
53_rand_swap_swapped,writing,Rewrite this sentence more formally: 'I can't come today.',I regret that I will be unable to attend today.,No coming today.,A,formal rewriting,position_swap_raw,hf:google/flan-t5-small,A,A
54_swapped,coding,"In Python, what does print(type(3.14)) output?",It outputs <class 'float'> because 3.14 is a floating-point number.,It outputs <class 'int'> because 3.14 is a number.,A,python data types,position_swap_raw,hf:google/flan-t5-small,A,A
55_swapped,reasoning,"If a store closes at 9 PM and it is currently 8 PM, is the store open?","No, because 8 PM is after 9 PM.","Yes, assuming normal hours, it is still before closing time.",B,time reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
56_swapped,math,What is 6 factorial?,720,36,A,factorial; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
57_rand_swap_swapped,writing,Write a short thank-you message after an interview.,Thank you for taking the time to speak with me today. I appreciated learning more about the role and your team.,Thanks. Bye.,A,professional tone,position_swap_raw,hf:google/flan-t5-small,A,A
58_swapped,factual,What planet is known as the Red Planet?,Mars,Venus,A,basic factual QA,position_swap_raw,hf:google/flan-t5-small,A,A
59_rand_swap_swapped,reasoning,"If John is taller than Alex, and Alex is taller than Sam, who is tallest?",John is tallest.,Sam is tallest because he is mentioned last.,A,transitive reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
60_rand_swap_swapped,coding,Which Python data structure uses key-value pairs?,A dictionary stores key-value pairs.,A list stores key-value pairs by default.,A,python basics,position_swap_raw,hf:google/flan-t5-small,A,A
61_swapped,math,What is 3/4 as a decimal?,0.75,0.34,A,fraction to decimal; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
62_swapped,writing,Make this sentence clearer: 'The thing was done by them fast.',The thing received fast completion by the people.,They completed the task quickly.,B,clarity,position_swap_raw,hf:google/flan-t5-small,A,A
63_swapped,reasoning,Can a number be both even and odd?,"Yes, if it is very large.","No, an integer cannot be both even and odd.",B,basic number reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
64_swapped,coding,What does SQL SELECT usually do?,It deletes all tables in a database.,It retrieves data from a database.,B,database basics,position_swap_raw,hf:google/flan-t5-small,A,A
65_swapped,math,What is 25% of 80?,20,40,A,percentage; B correct,position_swap_raw,hf:google/flan-t5-small,A,A
66_swapped,writing,Write a one-sentence description of a laptop.,"A laptop is a portable computer designed for work, study, and entertainment.",Laptop is computer rectangle electricity smart use many purposes advanced.,A,concise writing; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
67_rand_swap_swapped,factual,What gas do plants mainly absorb during photosynthesis?,Carbon dioxide,Oxygen,A,science factual,position_swap_raw,hf:google/flan-t5-small,A,A
68_rand_swap_swapped,reasoning,"If the road is wet after rain, does that prove it rained?",Yes. A wet road always proves rain happened.,"No. Rain could explain the wet road, but other causes are possible.",B,causal reasoning; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
69_rand_swap_swapped,coding,"In Java, which keyword is used to create a subclass?",extends,inherits,A,java syntax,position_swap_raw,hf:google/flan-t5-small,A,A
70_rand_swap_swapped,math,What is 14 × 5?,60,70,B,multiplication; B correct,position_swap_raw,hf:google/flan-t5-small,A,A
71_rand_swap_swapped,writing,Write a polite reminder email in one sentence.,"You forgot the deadline, so respond immediately.",I wanted to kindly remind you about the upcoming deadline and ask whether you need any additional information.,B,politeness; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
72_swapped,reasoning,"If all roses are flowers, does it follow that all flowers are roses?",No. All roses being flowers does not mean all flowers are roses.,"Yes, because roses and flowers are the same category.",A,converse error; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
73_swapped,factual,What is the capital of France?,Berlin,Paris,B,basic factual QA,position_swap_raw,hf:google/flan-t5-small,A,A
74_rand_swap_swapped,coding,What does a for loop usually do?,It repeats a block of code over a sequence or range.,It permanently stops a program from running.,A,programming concept,position_swap_raw,hf:google/flan-t5-small,A,A
75_swapped,math,What is 2^5?,32,10,A,exponents; B correct,position_swap_raw,hf:google/flan-t5-small,A,A
76_rand_swap_swapped,writing,Summarize this idea: exercise is good for health.,Exercise is movement and movement can exist in places.,Regular exercise supports physical and mental health.,B,summary quality; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
77_swapped,reasoning,"If a cup is empty, can it contain coffee?","Yes, because coffee could be invisible.","No, if it is empty, it does not contain coffee.",B,contradiction,position_swap_raw,hf:google/flan-t5-small,A,A
78_rand_swap_swapped,coding,What file extension is commonly used for Python files?,.java,.py,B,file extension; B correct,position_swap_raw,hf:google/flan-t5-small,A,A
79_rand_swap_swapped,math,What is 81 divided by 9?,9,8,A,division,position_swap_raw,hf:google/flan-t5-small,A,A
80_rand_swap_swapped,writing,Write a neutral headline about a new school policy.,Terrible School Policy Makes Everyone Angry,School Introduces New Attendance Policy,B,neutrality; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
81_swapped,factual,How many continents are commonly taught in the seven-continent model?,5,7,B,basic geography,position_swap_raw,hf:google/flan-t5-small,A,A
82_rand_swap_swapped,reasoning,"If the statement 'No birds are mammals' is false, what does that imply?",It implies at least one bird is a mammal.,It implies all birds are mammals.,A,logic negation,position_swap_raw,hf:google/flan-t5-small,A,A
83_swapped,coding,Which command is commonly used to install Python packages with pip?,python delete package_name,pip install package_name,B,python tooling,position_swap_raw,hf:google/flan-t5-small,A,A
84_swapped,math,What is the perimeter of a square with side length 6?,36,24,B,geometry,position_swap_raw,hf:google/flan-t5-small,A,A
85_rand_swap_swapped,writing,Improve this sentence: 'The report is bad and stuff.',The report is bad stuff because badness exists.,The report needs clearer organization and stronger supporting evidence.,B,specific feedback; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
86_rand_swap_swapped,factual,Which ocean is the largest?,The Pacific Ocean,The Atlantic Ocean,A,geography factual,position_swap_raw,hf:google/flan-t5-small,A,A
87_swapped,reasoning,"If Anna is older than Ben, and Ben is older than Cara, is Cara younger than Anna?","No, Cara must be older than Anna.","Yes, Cara is younger than Anna.",B,age ordering,position_swap_raw,hf:google/flan-t5-small,A,A
88_swapped,coding,What does Git commit do?,It deletes the repository from GitHub.,It saves a snapshot of changes in a repository.,B,git basics,position_swap_raw,hf:google/flan-t5-small,A,A
89_rand_swap_swapped,math,What is 12 + 15 + 8?,35,34,A,addition,position_swap_raw,hf:google/flan-t5-small,A,A
90_rand_swap_swapped,writing,Write a concise apology for being late.,Late happened due to time complexity and external delay factors.,I apologize for being late and appreciate your patience.,B,conciseness; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
91_rand_swap_swapped,reasoning,"If someone is allergic to peanuts, should they eat peanut butter?","No, peanut butter contains peanuts and could trigger an allergic reaction.","Yes, because butter cancels the peanut allergy.",A,commonsense reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
92_swapped,factual,What is the boiling point of water at sea level in Celsius?,50°C,100°C,B,science factual,position_swap_raw,hf:google/flan-t5-small,A,A
93_swapped,coding,What does Boolean mean in programming?,A number with many decimal places.,A value that is usually true or false.,B,programming concept,position_swap_raw,hf:google/flan-t5-small,A,A
94_rand_swap_swapped,math,What is 0.2 + 0.3 in ordinary decimal arithmetic?,0.5,0.6,A,decimal addition,position_swap_raw,hf:google/flan-t5-small,A,A
95_rand_swap_swapped,writing,Write a professional subject line for a job application email.,PLEASE HIRE ME NOW,Application for Software Engineering Internship,B,professional writing; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
96_rand_swap_swapped,reasoning,"If a train leaves before noon and arrives after noon, did the trip cross noon?","Yes, the trip included the noon time boundary.","No, because noon is not a place.",A,temporal reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
97_swapped,coding,"In HTML, which tag is commonly used for a paragraph?",<p>,<paragraph>,A,html basics; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
98_swapped,math,What is 5 cubed?,15,125,B,powers,position_swap_raw,hf:google/flan-t5-small,A,A
99_swapped,factual,Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,B,literature factual,position_swap_raw,hf:google/flan-t5-small,A,A
100_swapped,writing,Make this request more polite: 'Send me the file.',Could you please send me the file when you have a chance?,Send file immediately.,A,politeness; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
101_rand_swap_swapped,reasoning,"If all squares are rectangles, is every rectangle a square?","No. Every square is a rectangle, but not every rectangle is a square.","Yes, because rectangles and squares both have four sides.",A,category reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
